Date,ersst,lat
1854-01-01,1.2380655407905579,10
1854-02-01,0.03909459710121155,10
1854-03-01,-1.147191345691681,10
1854-04-01,0.4723552465438843,10
1854-05-01,3.0954020023345947,10
1854-06-01,7.5769593715667725,10
1854-07-01,14.173182487487793,10
1854-08-01,16.284730911254883,10
1854-09-01,13.06395435333252,10
1854-10-01,9.650094032287598,10
1854-11-01,7.763240575790405,10
1854-12-01,5.359852313995361,10
1855-01-01,2.515153169631958,10
1855-02-01,1.8413678407669067,10
1855-03-01,1.8563683032989502,10
1855-04-01,1.0962750911712646,10
1855-05-01,2.8973782062530518,10
1855-06-01,7.386302471160889,10
1855-07-01,12.944949626922607,10
1855-08-01,14.486331939697266,10
1855-09-01,12.774894714355469,10
1855-10-01,10.661596775054932,10
1855-11-01,9.076265335083008,10
1855-12-01,3.5785380601882935,10
1856-01-01,-1.6475071907043457,10
1856-02-01,-1.7999999523162842,10
1856-03-01,-1.7999999523162842,10
1856-04-01,-0.6348435878753662,10
1856-05-01,3.16670560836792,10
1856-06-01,7.805061340332031,10
1856-07-01,11.198758125305176,10
1856-08-01,13.856329917907715,10
1856-09-01,12.758914470672607,10
1856-10-01,9.255724906921387,10
1856-11-01,6.525796413421631,10
1856-12-01,3.525234341621399,10
1857-01-01,0.7199573516845703,10
1857-02-01,-0.899942934513092,10
1857-03-01,0.418749064207077,10
1857-04-01,0.5816954374313354,10
1857-05-01,3.3669142723083496,10
1857-06-01,6.600895643234253,10
1857-07-01,11.840699195861816,10
1857-08-01,13.892613410949707,10
1857-09-01,12.591181755065918,10
1857-10-01,9.302830219268799,10
1857-11-01,6.495105743408203,10
1857-12-01,2.7795403003692627,10
1858-01-01,0.39391499757766724,10
1858-02-01,-0.698800265789032,10
1858-03-01,-0.3876945376396179,10
1858-04-01,-1.1683329343795776,10
1858-05-01,0.6131153106689453,10
1858-06-01,5.494709491729736,10
1858-07-01,10.058850765228271,10
1858-08-01,13.995611190795898,10
1858-09-01,13.256828308105469,10
1858-10-01,9.541252613067627,10
1858-11-01,5.516703367233276,10
1858-12-01,2.1049574613571167,10
1859-01-01,0.8561463952064514,10
1859-02-01,-1.6743443608283997,10
1859-03-01,-0.6468666791915894,10
1859-04-01,1.0392541289329529,10
1859-05-01,3.603772282600403,10
1859-06-01,6.969029664993286,10
1859-07-01,13.082817554473877,10
1859-08-01,16.43205451965332,10
1859-09-01,14.810880184173584,10
1859-10-01,10.962884902954102,10
1859-11-01,6.3332679271698,10
1859-12-01,4.042698860168457,10
1860-01-01,0.20531630516052246,10
1860-02-01,-0.8746153712272644,10
1860-03-01,-1.6542810797691345,10
1860-04-01,0.7554115056991577,10
1860-05-01,2.540212631225586,10
1860-06-01,6.31984281539917,10
1860-07-01,10.254423141479492,10
1860-08-01,15.940843105316162,10
1860-09-01,15.758289337158203,10
1860-10-01,12.300685405731201,10
1860-11-01,7.548781156539917,10
1860-12-01,4.396428823471069,10
1861-01-01,0.6989363431930542,10
1861-02-01,-0.7922218441963196,10
1861-03-01,-1.6837839484214783,10
1861-04-01,1.5181944370269775,10
1861-05-01,4.465692520141602,10
1861-06-01,10.684306621551514,10
1861-07-01,15.137295722961426,10
1861-08-01,20.411954879760742,10
1861-09-01,16.568544387817383,10
1861-10-01,11.429548740386963,10
1861-11-01,8.092320442199707,10
1861-12-01,6.436120986938477,10
1862-01-01,3.1976165771484375,10
1862-02-01,1.7506162524223328,10
1862-03-01,0.2817895710468292,10
1862-04-01,-1.5780073404312134,10
1862-05-01,0.062114715576171875,10
1862-06-01,4.083261251449585,10
1862-07-01,9.189032554626465,10
1862-08-01,12.496755599975586,10
1862-09-01,10.829100131988525,10
1862-10-01,9.12342643737793,10
1862-11-01,7.686195611953735,10
1862-12-01,3.7381571531295776,10
1863-01-01,0.19068849086761475,10
1863-02-01,0.8828307390213013,10
1863-03-01,1.587311327457428,10
1863-04-01,-0.02631855010986328,10
1863-05-01,2.7130677700042725,10
1863-06-01,6.196963310241699,10
1863-07-01,13.08163595199585,10
1863-08-01,16.75264263153076,10
1863-09-01,17.264391899108887,10
1863-10-01,12.511249542236328,10
1863-11-01,9.652114391326904,10
1863-12-01,5.958456516265869,10
1864-01-01,3.379955768585205,10
1864-02-01,2.425749182701111,10
1864-03-01,-0.1679205596446991,10
1864-04-01,1.488199234008789,10
1864-05-01,4.347227573394775,10
1864-06-01,6.828972101211548,10
1864-07-01,10.235831260681152,10
1864-08-01,14.731738567352295,10
1864-09-01,16.54534339904785,10
1864-10-01,13.890570163726807,10
1864-11-01,9.477574825286865,10
1864-12-01,7.4169769287109375,10
1865-01-01,5.620686292648315,10
1865-02-01,2.9635813236236572,10
1865-03-01,1.8695346117019653,10
1865-04-01,1.545550286769867,10
1865-05-01,3.7889885902404785,10
1865-06-01,7.331515789031982,10
1865-07-01,13.57286262512207,10
1865-08-01,18.06864833831787,10
1865-09-01,15.103493690490723,10
1865-10-01,12.48953914642334,10
1865-11-01,12.534736633300781,10
1865-12-01,8.725578308105469,10
1866-01-01,3.8850934505462646,10
1866-02-01,2.3426411151885986,10
1866-03-01,2.374581813812256,10
1866-04-01,3.8080931901931763,10
1866-05-01,7.456199407577515,10
1866-06-01,9.47449779510498,10
1866-07-01,14.750495910644531,10
1866-08-01,16.516904830932617,10
1866-09-01,18.738304138183594,10
1866-10-01,12.353653907775879,10
1866-11-01,8.769805908203125,10
1866-12-01,7.064671516418457,10
1867-01-01,5.209831476211548,10
1867-02-01,4.412979602813721,10
1867-03-01,3.2518582344055176,10
